[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs  | GET      "/api/todos"
[GIN] 2021/08/16 - 12:42:19 | 200 |     194.282µs |  POST      "/api/todos"
